Job Title,Link,Keys
,,
Account Manager Solution,/solutions/products/product-catalog/view/account-manager-solution/,"C, P, A, B"
Administrative Professional - Short Form,/solutions/products/product-catalog/view/administrative-professional-short-form/,"A, K, P"
Agency Manager Solution,/solutions/products/product-catalog/view/agency-manager-solution/,"A, B, P, S"
Branch Manager - Short Form,/solutions/products/product-catalog/view/branch-manager-short-form/,"A, B, P"
Contact Center Manager - Short Form,/solutions/products/product-catalog/view/contact-center-manager-short-form/,"A, B, P, S"
District/Regional Manager Solution,/solutions/products/product-catalog/view/districtregional-manager-solution/,"A, B, P"
Event Sales Manager Solution,/solutions/products/product-catalog/view/event-sales-manager-solution/,"S, A, B, P"
Gaming Manager Solution,/solutions/products/product-catalog/view/gaming-manager-solution/,"S, A, B, K, P"
Guest Services Associate Solution,/solutions/products/product-catalog/view/guest-services-associate-solution/,"A, B, P, S"
Hospitality Manager Solution,/solutions/products/product-catalog/view/hospitality-manager-solution/,"A, B, K, P"
Insurance Account Manager Solution,/solutions/products/product-catalog/view/insurance-account-manager-solution/,"A, B, P, S"
Insurance Director Solution,/solutions/products/product-catalog/view/insurance-director-solution/,"A, B, P"
,,
Adobe Experience Manager (New),/solutions/products/product-catalog/view/adobe-experience-manager-new/,K
Civil Engineering (New),/solutions/products/product-catalog/view/civil-engineering-new/,K
Culinary Skills (New),/solutions/products/product-catalog/view/culinary-skills-new/,K
Cyber Risk (New),/solutions/products/product-catalog/view/cyber-risk-new/,K
Digital Advertising (New),/solutions/products/product-catalog/view/digital-advertising-new/,K
Digital Readiness Development Report - IC,/solutions/products/product-catalog/view/digital-readiness-development-report/,P
Digital Readiness Development Report - Manager,/solutions/products/product-catalog/view/digital-readiness-development-report-manager/,P
Executive Scenarios,/solutions/products/product-catalog/view/executive-scenarios/,B
Executive Scenarios Narrative Report,/solutions/products/product-catalog/view/executive-scenarios-narrative-report/,B
Executive Scenarios Profile Report,/solutions/products/product-catalog/view/executive-scenarios-profile-report/,B
Financial Accounting (New),/solutions/products/product-catalog/view/financial-accounting-new/,K
Financial and Banking Services (New),/solutions/products/product-catalog/view/financial-and-banking-services-new/,K
